,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,image_name,tags,weather,land,combined_tags
0,0,0,0,0,train_0,haze primary,haze,primary,primary haze
1,1,1,1,1,train_1,agriculture clear primary water,clear,primary water other,primary water other clear
2,2,2,2,2,train_2,clear primary,clear,primary,primary clear
3,3,3,3,3,train_3,clear primary,clear,primary,primary clear
4,4,4,4,4,train_4,agriculture clear habitation primary road,clear,primary other,primary other clear
5,5,5,5,5,train_5,haze primary water,haze,primary water,primary water haze
6,6,6,6,6,train_6,agriculture clear cultivation primary water,clear,primary water other,primary water other clear
7,7,7,7,7,train_7,haze primary,haze,primary,primary haze
8,8,8,8,8,train_8,agriculture clear cultivation primary,clear,primary other,primary other clear
9,9,9,9,9,train_9,agriculture clear cultivation primary road,clear,primary other,primary other clear
10,10,10,10,10,train_10,agriculture clear primary slash_burn water,clear,primary water other,primary water other clear
11,11,11,11,11,train_11,clear primary water,clear,primary water,primary water clear
12,12,12,12,12,train_12,cloudy,cloudy,none,none cloudy
13,13,13,13,13,train_13,clear primary,clear,primary,primary clear
14,14,14,14,14,train_14,cloudy,cloudy,none,none cloudy
15,15,15,15,15,train_15,clear primary,clear,primary,primary clear
16,16,16,16,16,train_16,clear primary,clear,primary,primary clear
17,17,17,17,17,train_17,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
18,18,18,18,18,train_18,clear primary,clear,primary,primary clear
19,19,19,19,19,train_19,agriculture clear primary road,clear,primary other,primary other clear
20,20,20,20,20,train_20,agriculture clear primary water,clear,primary water other,primary water other clear
21,21,21,21,21,train_21,clear primary road water,clear,primary water,primary water clear
22,22,22,22,22,train_22,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
23,23,23,23,23,train_23,agriculture clear primary road,clear,primary other,primary other clear
24,24,24,24,24,train_24,conventional_mine partly_cloudy primary,partly_cloudy,primary other,primary other partly_cloudy
25,25,25,25,25,train_25,clear primary,clear,primary,primary clear
26,26,26,26,26,train_26,cloudy,cloudy,none,none cloudy
27,27,27,27,27,train_27,agriculture partly_cloudy primary water,partly_cloudy,primary water other,primary water other partly_cloudy
28,28,28,28,28,train_28,clear primary,clear,primary,primary clear
29,29,29,29,29,train_29,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
30,30,30,30,30,train_30,clear primary water,clear,primary water,primary water clear
31,31,31,31,31,train_31,clear cultivation primary,clear,primary other,primary other clear
32,32,32,32,32,train_32,agriculture clear primary road,clear,primary other,primary other clear
33,33,33,33,33,train_33,agriculture cultivation partly_cloudy primary,partly_cloudy,primary other,primary other partly_cloudy
34,34,34,34,34,train_34,clear primary,clear,primary,primary clear
35,35,35,35,35,train_35,clear primary,clear,primary,primary clear
36,36,36,36,36,train_36,agriculture clear primary road,clear,primary other,primary other clear
37,37,37,37,37,train_37,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
38,38,38,38,38,train_38,clear primary,clear,primary,primary clear
39,39,39,39,39,train_39,clear primary,clear,primary,primary clear
40,40,40,40,40,train_40,agriculture clear cultivation primary,clear,primary other,primary other clear
41,41,41,41,41,train_41,agriculture clear primary,clear,primary other,primary other clear
42,42,42,42,42,train_42,clear primary,clear,primary,primary clear
43,43,43,43,43,train_43,bare_ground haze,haze,other,other haze
44,44,44,44,44,train_44,clear primary,clear,primary,primary clear
45,45,45,45,45,train_45,clear primary,clear,primary,primary clear
46,46,46,46,46,train_46,bare_ground clear habitation primary,clear,primary other,primary other clear
47,47,47,47,47,train_47,clear primary water,clear,primary water,primary water clear
48,48,48,48,48,train_48,clear primary water,clear,primary water,primary water clear
49,49,49,49,49,train_49,clear primary,clear,primary,primary clear
50,50,50,50,50,train_50,cloudy,cloudy,none,none cloudy
51,51,51,51,51,train_51,clear primary,clear,primary,primary clear
52,52,52,52,52,train_52,agriculture clear habitation primary road water,clear,primary water other,primary water other clear
53,53,53,53,53,train_53,clear primary,clear,primary,primary clear
54,54,54,54,54,train_54,clear primary,clear,primary,primary clear
55,55,55,55,55,train_55,partly_cloudy primary road water,partly_cloudy,primary water,primary water partly_cloudy
56,56,56,56,56,train_56,clear primary water,clear,primary water,primary water clear
57,57,57,57,57,train_57,artisinal_mine bare_ground clear primary water,clear,primary water other,primary water other clear
58,58,58,58,58,train_58,agriculture clear primary road,clear,primary other,primary other clear
59,59,59,59,59,train_59,agriculture clear habitation primary road,clear,primary other,primary other clear
60,60,60,60,60,train_60,haze primary,haze,primary,primary haze
61,61,61,61,61,train_61,clear primary,clear,primary,primary clear
62,62,62,62,62,train_62,clear primary water,clear,primary water,primary water clear
63,63,63,63,63,train_63,agriculture clear primary road,clear,primary other,primary other clear
64,64,64,64,64,train_64,agriculture clear primary,clear,primary other,primary other clear
65,65,65,65,65,train_65,clear primary,clear,primary,primary clear
66,66,66,66,66,train_66,agriculture clear primary road,clear,primary other,primary other clear
67,67,67,67,67,train_67,clear habitation primary road,clear,primary other,primary other clear
68,68,68,68,68,train_68,cloudy,cloudy,none,none cloudy
69,69,69,69,69,train_69,clear primary,clear,primary,primary clear
70,70,70,70,70,train_70,blooming clear primary,clear,primary other,primary other clear
71,71,71,71,71,train_71,clear primary water,clear,primary water,primary water clear
72,72,72,72,72,train_72,cloudy,cloudy,none,none cloudy
73,73,73,73,73,train_73,clear primary,clear,primary,primary clear
74,74,74,74,74,train_74,agriculture partly_cloudy primary road,partly_cloudy,primary other,primary other partly_cloudy
75,75,75,75,75,train_75,agriculture clear primary road water,clear,primary water other,primary water other clear
76,76,76,76,76,train_76,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
77,77,77,77,77,train_77,cloudy,cloudy,none,none cloudy
78,78,78,78,78,train_78,clear primary,clear,primary,primary clear
79,79,79,79,79,train_79,clear cultivation primary,clear,primary other,primary other clear
80,80,80,80,80,train_80,agriculture partly_cloudy primary road,partly_cloudy,primary other,primary other partly_cloudy
81,81,81,81,81,train_81,clear primary,clear,primary,primary clear
82,82,82,82,82,train_82,blooming clear cultivation habitation primary slash_burn,clear,primary other,primary other clear
83,83,83,83,83,train_83,clear primary,clear,primary,primary clear
84,84,84,84,84,train_84,agriculture clear habitation primary road,clear,primary other,primary other clear
85,85,85,85,85,train_85,clear primary water,clear,primary water,primary water clear
86,86,86,86,86,train_86,clear primary,clear,primary,primary clear
87,87,87,87,87,train_87,cloudy,cloudy,none,none cloudy
88,88,88,88,88,train_88,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
89,89,89,89,89,train_89,clear primary,clear,primary,primary clear
90,90,90,90,90,train_90,agriculture partly_cloudy primary road,partly_cloudy,primary other,primary other partly_cloudy
91,91,91,91,91,train_91,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
92,92,92,92,92,train_92,agriculture clear habitation primary road,clear,primary other,primary other clear
93,93,93,93,93,train_93,clear primary,clear,primary,primary clear
94,94,94,94,94,train_94,agriculture clear habitation primary road,clear,primary other,primary other clear
95,95,95,95,95,train_95,clear primary,clear,primary,primary clear
96,96,96,96,96,train_96,clear primary,clear,primary,primary clear
97,97,97,97,97,train_97,cloudy,cloudy,none,none cloudy
98,98,98,98,98,train_98,clear primary,clear,primary,primary clear
99,99,99,99,99,train_99,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
100,100,100,100,100,train_100,bare_ground clear water,clear,water other,water other clear
101,101,101,101,101,train_101,cloudy,cloudy,none,none cloudy
102,102,102,102,102,train_102,clear primary,clear,primary,primary clear
103,103,103,103,103,train_103,agriculture clear habitation primary road water,clear,primary water other,primary water other clear
104,104,104,104,104,train_104,haze primary,haze,primary,primary haze
105,105,105,105,105,train_105,clear primary,clear,primary,primary clear
106,106,106,106,106,train_106,clear primary,clear,primary,primary clear
107,107,107,107,107,train_107,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
108,108,108,108,108,train_108,cloudy,cloudy,none,none cloudy
109,109,109,109,109,train_109,clear primary,clear,primary,primary clear
110,110,110,110,110,train_110,clear primary,clear,primary,primary clear
111,111,111,111,111,train_111,cloudy,cloudy,none,none cloudy
112,112,112,112,112,train_112,agriculture clear primary road,clear,primary other,primary other clear
113,113,113,113,113,train_113,agriculture clear primary,clear,primary other,primary other clear
114,114,114,114,114,train_114,clear primary water,clear,primary water,primary water clear
115,115,115,115,115,train_115,clear primary water,clear,primary water,primary water clear
116,116,116,116,116,train_116,agriculture clear primary road,clear,primary other,primary other clear
117,117,117,117,117,train_117,clear primary,clear,primary,primary clear
118,118,118,118,118,train_118,cloudy,cloudy,none,none cloudy
119,119,119,119,119,train_119,agriculture clear primary road water,clear,primary water other,primary water other clear
120,120,120,120,120,train_120,clear primary,clear,primary,primary clear
121,121,121,121,121,train_121,partly_cloudy primary water,partly_cloudy,primary water,primary water partly_cloudy
122,122,122,122,122,train_122,agriculture clear primary road,clear,primary other,primary other clear
123,123,123,123,123,train_123,agriculture bare_ground clear habitation primary road,clear,primary other,primary other clear
124,124,124,124,124,train_124,bare_ground clear primary,clear,primary other,primary other clear
125,125,125,125,125,train_125,agriculture clear primary,clear,primary other,primary other clear
126,126,126,126,126,train_126,agriculture clear primary road,clear,primary other,primary other clear
127,127,127,127,127,train_127,clear primary,clear,primary,primary clear
128,128,128,128,128,train_128,clear primary,clear,primary,primary clear
129,129,129,129,129,train_129,agriculture clear primary,clear,primary other,primary other clear
130,130,130,130,130,train_130,partly_cloudy primary,partly_cloudy,primary,primary partly_cloudy
131,131,131,131,131,train_131,agriculture clear primary road water,clear,primary water other,primary water other clear
132,132,132,132,132,train_132,haze primary,haze,primary,primary haze
133,133,133,133,133,train_133,haze primary,haze,primary,primary haze
134,134,134,134,134,train_134,clear primary,clear,primary,primary clear
135,135,135,135,135,train_135,clear primary water,clear,primary water,primary water clear
136,136,136,136,136,train_136,haze primary,haze,primary,primary haze
137,137,137,137,137,train_137,clear primary,clear,primary,primary clear
